Vmag,Plx,e_Plx,B-V,Amag,SpType,TargetClass
4.039518929,13.5965041,0.84510081,-0.09782340409,15.77412163,620,1
6.655718505,4.010332379,1.050016772,1.386670488,15.34497611,1027,1
6.405060259,0.3488552925,0.9615975694,0.9515032794,12.23610321,231,1
9.113068325,2.954461177,1.251422429,1.002818528,15.56083786,931,0
6.107686065,3.144180222,0.4757949348,0.4933451652,12.77198068,839,1
7.337770821,12.25434728,0.6510409785,0.3304929226,17.31556703,595,1
7.316559621,0.662464335,0.7204639089,-0.05674331472,12.84531666,351,0
7.379829768,4.494504869,0.5948629345,1.322638588,15.52872058,969,1
9.284616676,7.392760926,1.116968735,0.6297430075,19.62646307,757,0
8.646859685,4.137043808,1.239574822,0.3712632637,17.28402069,643,1
9.41286999,1.806702001,1.184481828,1.013331161,16.43405308,844,0
7.125797476,2.363118793,0.7329175697,0.1654612921,14.74816835,368,0
8.076614386,3.780741239,1.004937258,0.8253863469,17.00259728,844,0
8.341736584,3.587353825,0.7091155173,0.3550736052,16.56169051,524,1
2.937387018,6.141718296,0.6721124278,0.409221059,17.05270623,115,1
8.332726436,2.611932797,0.9418403825,0.9787819286,15.9401762,844,0
9.320108992,3.13633539,1.453230184,0.3765740844,16.92946173,586,1
8.969481601,7.334916301,0.970462405,0.9895085623,17.72157814,888,1
8.48807438,2.774083605,1.566579069,0.4124631143,18.04085242,560,1
8.679270323,3.35873802,1.205999681,1.128538813,16.26527888,886,1
8.065336861,2.465030464,1.072002851,0.9674834608,15.11844113,844,0
8.748729658,7.498885203,0.8840571404,0.6152289815,17.97285706,207,1
7.250854033,17.02964293,0.8285446013,0.7619117344,20.3613947,709,1
8.92581941,2.920262024,0.8086007812,1.357759477,16.83023824,931,0
8.047574986,0.2556618965,1.231851473,1.17343668,12.11229432,931,0
8.756894124,22.14454062,0.7313299671,1.040020837,20.74871148,1058,0
7.854422142,3.200146238,1.364096173,1.248005431,15.91991737,993,1
7.624577065,12.89186775,0.8186339975,-0.207584413,16.33480224,937,1
7.650968749,8.060388189,1.083558919,0.347226473,17.64420451,584,1
9.436441842,8.139398215,1.4064975,0.5159693655,19.19225472,660,0
6.400337491,6.547426605,0.623485016,0.9341854537,14.79173403,888,1
8.250339928,4.045806775,1.262831824,0.9764100766,16.70569907,888,1
6.054910586,6.944149581,0.4596891827,0.9821928965,15.35350579,844,0
8.146052944,15.73777315,0.9859728643,0.8443623368,18.49152603,911,1
8.84817131,8.234573183,1.065555972,0.8186655211,17.72434079,769,1
8.432099726,1.976569602,0.9358889212,0.2177296081,15.90377419,296,1
8.750155506,-2.037763816,1.061899538,-0.1232031866,13.19563406,895,0
6.597620006,6.140692681,0.9044593019,0.9885804742,15.51390651,844,0
6.027145939,12.63327636,1.004540183,1.035730128,16.58276592,931,0
8.646716343,6.451595235,1.060695703,0.6152805089,17.48336942,709,1
8.250997813,2.64187277,0.8614514623,1.427199098,15.75321274,969,1
8.321417965,0.9053978904,0.8581403828,0.9261363619,14.03845142,888,1
8.766142316,8.555136945,1.077956285,0.3857235807,19.58002404,660,0
8.63422792,7.260545503,0.9732425896,0.8326340194,18.90624026,792,0
