,Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
0,4.039518929,13.5965041,0.84510081,-0.09782340409,F5V+...,15.77412163,1
1,6.655718505,4.010332379,1.050016772,1.386670488,K5III,15.34497611,0
2,6.405060259,0.3488552925,0.9615975694,0.9515032794,B0IVpe,12.23610321,0
3,9.113068325,2.954461177,1.251422429,1.002818528,K1III,15.56083786,0
4,6.107686065,3.144180222,0.4757949348,0.4933451652,G8II-IIIvar,12.77198068,0
5,7.337770821,12.25434728,0.6510409785,0.3304929226,F4V,17.31556703,1
6,7.316559621,0.662464335,0.7204639089,-0.05674331472,B4V:ne,12.84531666,1
7,7.379829768,4.494504869,0.5948629345,1.322638588,K2III,15.52872058,0
8,9.284616676,7.392760926,1.116968735,0.6297430075,G3V,19.62646307,1
9,8.646859685,4.137043808,1.239574822,0.3712632637,F6V:,17.28402069,1
10,9.41286999,1.806702001,1.184481828,1.013331161,G8III,16.43405308,0
11,7.125797476,2.363118793,0.7329175697,0.1654612921,B5V,14.74816835,1
12,8.076614386,3.780741239,1.004937258,0.8253863469,G8III,17.00259728,0
13,8.341736584,3.587353825,0.7091155173,0.3550736052,F0V,16.56169051,1
14,2.937387018,6.141718296,0.6721124278,0.409221059,A4III,17.05270623,0
15,8.332726436,2.611932797,0.9418403825,0.9787819286,G8III,15.9401762,0
16,9.320108992,3.13633539,1.453230184,0.3765740844,F3Vp...,16.92946173,1
17,8.969481601,7.334916301,0.970462405,0.9895085623,K0III,17.72157814,0
18,8.48807438,2.774083605,1.566579069,0.4124631143,F2V,18.04085242,1
19,8.679270323,3.35873802,1.205999681,1.128538813,K0II SB,16.26527888,0
20,8.065336861,2.465030464,1.072002851,0.9674834608,G8III,15.11844113,0
21,8.748729658,7.498885203,0.8840571404,0.6152289815,A9V,17.97285706,1
22,7.250854033,17.02964293,0.8285446013,0.7619117344,G0V,20.3613947,1
23,8.92581941,2.920262024,0.8086007812,1.357759477,K1III,16.83023824,0
24,8.047574986,0.2556618965,1.231851473,1.17343668,K1III,12.11229432,0
25,8.756894124,22.14454062,0.7313299671,1.040020837,M1V,20.74871148,1
26,7.854422142,3.200146238,1.364096173,1.248005431,K3II-III,15.91991737,0
27,7.624577065,12.89186775,0.8186339975,-0.207584413,K1III/IV,16.33480224,1
28,7.650968749,8.060388189,1.083558919,0.347226473,F3V,17.64420451,1
29,9.436441842,8.139398215,1.4064975,0.5159693655,F7V,19.19225472,1
30,6.400337491,6.547426605,0.623485016,0.9341854537,K0III,14.79173403,0
31,8.250339928,4.045806775,1.262831824,0.9764100766,K0III,16.70569907,0
32,6.054910586,6.944149581,0.4596891827,0.9821928965,G8III,15.35350579,0
33,8.146052944,15.73777315,0.9859728643,0.8443623368,K0V,18.49152603,1
34,8.84817131,8.234573183,1.065555972,0.8186655211,G5/G6V,17.72434079,1
35,8.432099726,1.976569602,0.9358889212,0.2177296081,B2III,15.90377419,0
36,8.750155506,-2.037763816,1.061899538,-0.1232031866,K0III/IV,13.19563406,1
37,6.597620006,6.140692681,0.9044593019,0.9885804742,G8III,15.51390651,0
38,6.027145939,12.63327636,1.004540183,1.035730128,K1III,16.58276592,0
39,8.646716343,6.451595235,1.060695703,0.6152805089,G0V,17.48336942,1
40,8.250997813,2.64187277,0.8614514623,1.427199098,K2III,15.75321274,0
41,8.321417965,0.9053978904,0.8581403828,0.9261363619,K0III,14.03845142,0
42,8.766142316,8.555136945,1.077956285,0.3857235807,F7V,19.58002404,1
43,8.63422792,7.260545503,0.9732425896,0.8326340194,G5V,18.90624026,1
44,8.522534003,3.047931225,0.856127885,0.9412025815,G8III/IV,16.74731044,1
45,9.057578233,-0.3983996611,1.336246944,0.4463920575,F5 + (K)III,10.16438728,0
46,7.510157879,4.050666627,0.9122083778,0.9119387476,G8III,15.69379905,0
47,8.617460841,0.5211308839,0.85931788,1.51477586,K5III,12.8344059,0
48,8.617583869,0.01913617855,1.257493115,0.8580262138,G8III,8.115349263,0
49,9.414945766,3.167520709,1.868893695,0.4912459679,F2V,16.52538892,1
50,7.853289989,1.594559409,0.8030032011,1.197236101,K1III,15.6254217,0
51,8.811152925,-1.002491597,1.296801364,0.4134860775,F8II,15.94710094,0
52,8.230944324,6.445692499,0.9874253432,0.5046267734,F3V,18.45261811,1
53,9.451104372,19.75376635,0.9233635636,0.7241856139,G6V,21.04424755,1
54,8.838338931,3.723110954,1.086140168,0.2757482349,A9V,17.96606862,1
55,7.520576917,3.710816354,0.7346843933,1.168556318,K0III,15.2849995,0
56,8.608540886,9.050840561,1.635851036,0.4612787935,F5V,18.78195385,1
57,8.558420888,-0.1349765797,0.8894812802,0.7744813408,G0II,11.44485061,0
58,4.16470814,16.15003217,0.567715089,0.2112697073,F0V,17.38050476,1
59,4.127215213,2.05830719,0.6649029113,-0.06488023947,B9II-III,11.92480448,0
60,7.419211491,3.097915918,0.6312549833,0.3839764184,F2III,15.47312621,0
61,9.467613136,6.182710038,1.997439178,0.9177436283,A7IV/V,18.48723352,1
62,8.41751841,5.915462074,1.358910176,0.6078690007,F0V,16.7185873,1
63,7.409903859,3.2289934,0.9644762239,-0.0005434656644,B8IIIn,14.4828839,0
64,7.772558225,7.413329047,0.7205205701,0.7120865245,G0V,21.32514515,1
65,7.559572516,14.00757013,0.8870150004,0.5217482436,G2V,19.17672688,1
66,10.08981093,2.95409289,1.240757228,0.5960134,G2/G3V,17.18219678,1
67,9.384814791,0.5924088435,1.230963581,0.2009560647,B9III,14.26990133,0
68,9.688827484,1.616680666,1.230468688,-0.05647169295,B8/B9III,15.04457754,0
69,6.594052978,2.400906228,0.5709922081,0.01010407215,B5V,15.33671611,1
70,9.088143843,23.85543862,1.027269178,1.091036915,K5V,22.04942661,1
71,8.827086022,0.8529007352,1.90800749,1.291395321,G0IIvar,14.3151238,0
72,9.009258342,18.36751819,1.118852819,0.7372162764,G5V,19.76739703,1
73,3.155992419,13.87750341,0.5319151782,0.03167722867,B9III,15.06470646,0
74,8.396778089,4.202895934,1.068233013,1.480854176,M4III,17.72697452,0
75,9.19999607,4.989761474,2.083870992,0.2990153802,A9V,18.02281432,1
76,8.214619324,1.562469518,0.7854485279,1.465748746,K2III,14.48383499,0
77,8.668206576,1.633367409,0.8649888668,1.277560819,K2III,14.29585833,0
78,9.029759124,2.442972639,0.8478129328,1.012627175,G8III,16.54152734,0
79,6.992136847,7.433638202,0.9562606599,0.9061165657,G6/G8III,16.5654875,0
80,8.855393923,2.75870681,1.029043483,0.6155001951,F3V,16.82515528,1
81,7.596033049,5.82824728,1.04993291,0.4494723385,G5IV:w...,16.93697133,1
82,8.139770237,2.00262293,0.9570283729,-0.2327344805,B8III,14.8854592,0
83,8.353406315,5.420005393,0.7615261772,0.6058897768,F3V,17.30448371,1
84,3.57193119,2.511668428,0.6797029284,1.36206516,K5III,13.45801385,0
85,5.583680418,8.243098111,0.618343255,1.090255632,K1III,16.09920438,0
86,8.789738023,8.903314366,0.8523812723,0.4443116035,A7V,17.29999505,1
87,3.330737691,15.90825023,0.8354847043,0.252736003,F0Vn,16.88309744,1
88,8.338020153,2.042706257,0.9635690577,1.220420014,K2/K3III,14.30089716,0
89,9.276171043,1.016916988,1.374017183,-0.0824108796,B2III,14.89155592,0
90,8.048291837,2.582907551,1.27704237,0.983332255,K0III,15.33083084,0
91,4.062187541,33.08190723,0.4148608901,0.4885109846,G2V,19.25223616,1
92,7.732976363,5.311031404,1.041733425,1.129322784,K0III,17.53813444,0
93,7.226371199,1.076847101,1.164711954,1.416070286,M0III,12.78593628,0
94,8.651168759,4.235743984,1.169001406,0.4836309452,F0V+F/G,19.05101247,1
95,4.080795563,30.54437395,0.7950301152,0.339902411,F6IV-Vs,17.87532582,1
96,8.79789801,3.53875108,1.587583383,0.3201634104,F5V,16.55698998,1
97,7.894056185,1.933714819,0.8061008302,-0.05605700133,B6III,15.04078495,0
98,8.429105751,1.346701855,0.8913350109,1.014987564,G8III,13.7546469,0
99,8.048255307,3.262199291,1.123725047,0.07128031848,A0V,16.69312542,1
100,7.611983991,15.32848129,1.297236028,0.8223473858,K1IV,18.48725248,1
101,8.730820859,2.324293385,1.098734016,0.9406273991,K0III,16.02594457,0
102,6.120827751,2.81668146,0.5360135456,-0.09409381415,B8II,13.58707875,0
103,9.200213473,2.023918947,1.020175801,0.9764086446,K0III,15.53263222,0
104,6.3878506,3.897791701,1.061371763,1.076430903,K0III,14.73623766,0
105,6.814249816,5.364774472,0.9459318321,0.5378718777,A7V,16.08112227,1
106,8.206351285,3.053421442,1.478639503,0.9885356986,K0III,16.14756791,0
107,8.434163758,9.506578153,0.767744741,1.023061859,G6:III+...,18.07725787,0
108,3.124661321,5.231278955,0.8549586311,1.552886428,K5III,14.4386474,0
109,8.761890533,4.171839601,1.223553349,0.5706158195,F8:Vw...,18.09167726,1
110,9.177194787,3.384027801,1.308995658,0.5084097508,F5V,15.68974876,1
111,9.23033264,3.118997273,1.089352525,-0.03196839555,B9IV,16.96631466,1
112,8.89157949,0.4161448155,1.268408441,1.413225809,K2III,13.42952383,0
113,8.097842009,1.602810693,0.993293125,1.009663295,K7V,14.93277933,1
114,1.437855395,6.895603567,0.768542115,-0.1571241372,B1.5IV,12.24335786,1
115,8.865562644,-0.7505959536,1.112712404,0.8406313098,G8III,11.31846793,0
116,7.961411682,3.065094477,0.9397404853,-0.06278807969,A0III/IV,16.162906,1
117,7.574218243,10.61818274,1.047217595,1.005482509,G8V:+...,17.31159262,1
118,7.005667386,4.292960722,0.6635492631,1.425872493,M2III,15.32787567,0
119,3.243037079,1.051896492,0.4989127736,-0.07037479956,B1.5Vp,11.05704397,1
120,9.297247432,4.972567968,1.449787466,0.6715760122,G0V,17.54523228,1
121,8.923771264,9.398530607,1.06302266,1.201466092,K1III,17.54278844,0
122,8.861036137,4.167908091,1.363121319,0.5080092181,F6V,18.7434966,1
123,0.8153097169,19.96857789,0.5668973341,0.5691485326,A3III,17.06516872,0
124,10.55588808,3.478900997,0.7903908505,0.2447095146,A0V,15.68896695,1
125,8.572883718,2.70060772,1.079125312,1.267230988,K1III,15.09051996,0
126,8.137341868,2.534769982,1.03416652,1.317944191,K3III,16.3400795,0
127,7.854516458,24.53293913,1.139144304,0.9449245169,G8V,19.46267898,1
128,8.095609557,8.216546123,0.7587326896,0.3919731582,A9V,17.5676234,1
129,2.951195888,0.05024948898,0.6474148303,0.44693064,A2Ib/II,9.511625373,0
130,8.511228553,2.119521122,1.373308458,0.005167435852,A0V,14.7963274,1
131,8.111646807,6.427311312,0.875043281,0.5758231612,F5V,17.91902007,1
132,8.647853776,1.457273232,0.7726976297,1.223575952,K2/K3III,15.50569331,0
133,8.703972175,3.895280578,0.6940716024,0.3331461412,F0V,16.88639797,1
134,8.980896646,0.9808845339,1.048992097,1.102153954,K1III,16.22631617,0
135,9.136154169,1.860771154,1.289317182,0.01786341361,A8V,15.81751403,1
136,7.974458497,1.574175127,1.273000336,1.137567543,K1IV,15.04009293,1
137,8.494560689,4.420713707,0.8802186849,0.01788335161,A3V,15.16560466,1
138,7.014041633,1.860899157,1.124422006,1.292769138,K1III,13.6768608,0
139,7.959225396,12.71035114,1.036981277,0.3729499533,F5V,18.20352876,1
140,7.932886316,2.207980497,1.070910856,1.308265784,K2III,15.62426422,0
141,7.691349579,4.261526808,1.286552799,0.2622333504,B5/B6III,16.73330846,0
142,6.714146264,14.1626997,0.7331940751,-0.06288524737,A3Vs...,16.15446527,1
143,7.416499171,3.524658129,0.7383005823,0.1256856122,B6IV/V,15.79005194,1
144,2.365242826,13.70379277,0.5079105028,0.08109214638,A3V,15.73640076,1
145,8.876542632,1.198045595,0.972715069,1.093725867,K1III,12.21411139,0
146,9.472453807,1.79341856,1.09320275,0.9470575892,G8III,16.3115223,0
147,7.007873768,4.949662505,1.019540851,1.057569845,K0III,16.18379664,0
148,9.580939584,2.893742129,1.242177316,-0.1431494853,F9V: + G9V:,17.78211101,1
149,9.016408606,0.1083788819,1.0343516,0.05311810246,B2Ve,15.9245256,1
150,7.630403384,5.039988654,0.6536915602,0.07953307193,B8/B9II/III,14.97460261,0
151,6.277325238,10.38685213,0.5478500487,0.2080431432,F2III,16.02218565,0
152,8.668730995,7.295848599,1.035600434,0.2611940231,A9V,17.88726999,1
153,8.332245395,1.005994768,1.433429276,1.056772791,K3IV,14.05600013,1
154,9.063451206,4.3936652,1.271447997,1.032516691,G8III,16.82256327,0
155,8.51494754,12.24087314,0.6028473814,0.1065804611,A3V,15.75174198,1
156,8.164084015,2.008108278,0.8930295969,-0.05934162464,B3Vnne,14.40471281,1
157,8.085372518,4.485021564,1.156969509,-0.03677673744,B3V,16.35914904,1
158,9.349993016,1.92430319,1.588546987,1.348829269,M2III,15.69273397,0
159,7.329808245,2.255901341,0.5874386383,1.497319417,K3III,14.19210595,0
160,9.227015929,5.759389885,1.374103785,0.6195922566,G3V,18.4419206,1
161,8.800782409,1.274712941,1.259267255,1.069452801,K0III,14.26207254,0
162,9.461486981,2.557196124,1.042275105,1.155108735,G8/K0IV,15.55126724,1
163,8.602563938,41.69112055,1.362612995,1.521511794,K7V,24.8974399,1
164,5.946886533,3.637206742,0.5559202211,1.047986284,K0III,15.24324783,0
165,8.995861428,11.56853811,1.063418317,0.6193841044,G0V,19.06920535,1
166,7.412032381,2.845688731,0.8846829343,0.9543554989,A1/2V + KIII,14.25148974,1
167,9.251751292,4.338308537,1.474612218,0.5631251085,F2V,18.71131933,1
168,6.603669583,6.160011022,0.6178289526,0.0364560703,B7IV/V,16.04565377,1
169,9.635153772,2.92496803,1.292543473,0.6049869539,F2V,17.35907449,1
170,7.615752664,13.39583813,0.7804636201,0.584088595,F6Vp,18.70333183,1
171,9.049224183,0.1400985624,1.080252457,0.9820271777,G8III,8.507291248,0
172,2.074448579,18.81782148,0.5213451701,0.3836653542,F0V,17.07123367,1
173,3.14201163,35.47133871,0.6851429278,0.3961450971,F4IV-V,17.94802878,1
174,7.297117662,4.130245089,0.8749384201,0.2999501442,B9.5III,14.68768235,0
175,6.571591978,3.870353812,0.9218113731,1.608853786,K3III,15.3760966,0
176,7.447605607,6.261626494,0.9591584097,0.5359392706,F2III,17.1604966,0
177,8.677425344,0.555754015,1.10295073,-0.0133055614,B8/B9V,12.20114778,1
178,7.679288721,6.059316876,0.7041997101,-0.03699145861,A2IV/V,17.29406275,1
179,7.174981891,5.955910311,1.036868123,0.05571725468,B9V,16.07057967,1
180,9.550648079,5.182876093,1.128019288,0.7429856411,F7V,19.02489406,1
181,7.833825208,11.98653139,0.8691789589,0.6604757808,G3V,18.32505571,1
182,8.649578918,9.238023566,1.764690103,0.6458856636,F3V,18.23527974,1
183,7.603218141,11.30858502,1.255938238,0.6611220831,F5V,17.03367901,1
184,7.352338704,2.447021105,0.6862449928,1.008104452,K0III,13.89018412,0
185,8.341304473,4.931248141,1.479646171,0.2680227748,F6/F7IV:,17.21026013,1
186,4.270394379,18.02943344,0.7489057859,0.4103012908,F3V,17.43797431,1
187,9.403889211,5.859036552,1.646610801,0.6721469441,G3V,18.93881259,1
188,7.585639543,-1.125185008,0.9621861456,-0.05942623458,B0.5Iab:,12.11780281,0
189,8.074239808,5.080194371,0.9745056079,0.6801349552,G3V,19.47309096,1
190,8.553321993,-0.7493162582,1.214037494,0.9706307551,G8III,7.183334346,0
191,4.663131084,4.968021276,0.7369154595,0.3470605092,A3IV/V,14.87061827,1
192,8.54169919,1.141579466,0.8569270541,1.021205967,G0Iavar,14.25968264,0
193,8.571326797,2.824999814,1.026037294,0.3434784519,F3V,16.01624528,1
194,7.545713489,1.823388952,0.8283660764,1.017561261,G8III,13.39491474,0
195,8.439850053,3.583305247,1.364386538,0.2093983092,A7V,17.15487279,1
196,8.392283406,1.641003119,1.026975028,1.550504095,K2III,13.58487242,0
