iter	Passed	Remaining
0	12	12164
1	24	12004
2	30	10236
3	37	9277
4	44	8887
5	50	8406
6	57	8121
7	63	7864
8	69	7623
9	75	7493
10	82	7431
11	88	7294
12	94	7182
13	101	7134
14	107	7030
15	113	7000
16	120	6995
17	127	6944
18	132	6863
19	138	6762
20	144	6715
21	149	6660
22	158	6750
23	166	6789
24	179	6989
25	191	7180
26	202	7310
27	219	7633
28	228	7667
29	237	7673
30	246	7710
31	254	7711
32	261	7673
33	269	7642
34	275	7584
35	282	7566
36	290	7549
37	296	7512
38	304	7515
39	311	7471
40	317	7434
41	325	7413
42	332	7388
43	337	7343
44	342	7277
45	348	7230
46	354	7192
47	360	7147
48	366	7105
49	372	7083
50	378	7049
51	383	6999
52	389	6966
53	398	6981
54	407	7000
55	413	6978
56	430	7114
57	436	7086
58	448	7146
59	456	7148
60	461	7102
61	466	7053
62	470	7003
63	476	6961
64	481	6920
65	486	6879
66	491	6837
67	496	6803
68	501	6768
69	506	6730
70	511	6693
71	517	6666
72	522	6639
73	528	6612
74	533	6578
75	538	6548
76	544	6522
77	549	6499
78	555	6474
79	560	6451
80	566	6429
81	572	6406
82	577	6378
83	582	6351
84	587	6322
85	592	6301
86	598	6281
87	603	6254
88	608	6227
89	613	6204
90	619	6186
91	624	6161
92	629	6136
93	634	6117
94	640	6099
95	646	6091
96	652	6074
97	657	6053
98	663	6036
99	669	6022
100	674	6005
101	679	5983
102	685	5969
103	691	5954
104	696	5940
105	702	5923
106	707	5902
107	713	5891
108	719	5879
109	725	5866
110	729	5845
111	735	5827
112	740	5811
113	746	5800
114	752	5789
115	757	5773
116	763	5760
117	767	5739
118	772	5716
119	777	5703
120	782	5684
121	787	5668
122	793	5656
123	798	5643
124	804	5629
125	809	5617
126	816	5611
127	822	5604
128	828	5591
129	834	5582
130	840	5573
131	846	5565
132	853	5566
133	860	5563
134	866	5551
135	872	5540
136	876	5523
137	882	5510
138	887	5496
139	893	5486
140	898	5473
141	904	5463
142	909	5451
143	915	5439
144	920	5429
145	925	5416
146	931	5402
147	936	5391
148	941	5378
149	947	5369
150	953	5358
151	958	5346
152	963	5332
153	968	5319
154	973	5307
155	978	5294
156	983	5281
157	988	5270
158	993	5256
159	998	5241
160	1004	5234
161	1009	5224
162	1015	5215
163	1020	5203
164	1025	5192
165	1032	5185
166	1037	5176
167	1043	5167
168	1048	5157
169	1054	5146
170	1059	5136
171	1065	5127
172	1070	5117
173	1075	5105
174	1081	5096
175	1086	5087
176	1092	5078
177	1097	5065
178	1102	5056
179	1108	5048
180	1113	5037
181	1118	5027
182	1123	5017
183	1129	5009
184	1135	5001
185	1140	4991
186	1145	4981
187	1151	4972
188	1156	4961
189	1161	4951
190	1167	4943
191	1172	4935
192	1178	4926
193	1184	4919
194	1189	4912
195	1195	4905
196	1201	4895
197	1206	4887
198	1212	4879
199	1217	4870
200	1223	4862
201	1228	4853
202	1234	4847
203	1240	4840
204	1249	4846
205	1254	4835
206	1260	4829
207	1265	4819
208	1270	4809
209	1276	4800
210	1281	4791
211	1287	4784
212	1292	4774
213	1299	4773
214	1305	4766
215	1310	4756
216	1315	4746
217	1320	4736
218	1326	4730
219	1331	4722
220	1337	4713
221	1342	4705
222	1347	4696
223	1353	4688
224	1358	4679
225	1363	4669
226	1368	4661
227	1376	4660
228	1381	4652
229	1387	4646
230	1393	4637
231	1398	4628
232	1403	4620
233	1409	4613
234	1415	4608
235	1420	4599
236	1426	4593
237	1432	4585
238	1438	4579
239	1443	4572
240	1449	4566
241	1455	4558
242	1460	4549
243	1465	4541
244	1471	4534
245	1477	4528
246	1483	4522
247	1488	4514
248	1494	4506
249	1499	4498
250	1505	4491
251	1510	4482
252	1515	4475
253	1520	4466
254	1527	4461
255	1532	4452
256	1537	4445
257	1543	4438
258	1548	4430
259	1554	4424
260	1560	4418
261	1566	4411
262	1571	4402
263	1577	4397
264	1583	4390
265	1588	4383
266	1593	4374
267	1599	4367
268	1604	4359
269	1609	4352
270	1614	4343
271	1620	4335
272	1625	4329
273	1631	4322
274	1637	4315
275	1642	4307
276	1647	4300
277	1652	4292
278	1658	4285
279	1663	4277
280	1668	4269
281	1674	4262
282	1678	4253
283	1683	4244
284	1689	4237
285	1695	4232
286	1700	4225
287	1706	4218
288	1712	4212
289	1717	4203
290	1722	4196
291	1727	4188
292	1732	4180
293	1737	4172
294	1742	4165
295	1748	4157
296	1753	4150
297	1758	4143
298	1764	4136
299	1770	4130
300	1775	4123
301	1780	4115
302	1785	4108
303	1790	4100
304	1796	4092
305	1801	4086
306	1807	4080
307	1813	4074
308	1819	4068
309	1824	4061
310	1830	4054
311	1836	4049
312	1842	4043
313	1847	4036
314	1853	4030
315	1858	4023
316	1864	4017
317	1870	4010
318	1876	4005
319	1881	3998
320	1887	3992
321	1892	3985
322	1898	3978
323	1903	3971
324	1908	3964
325	1914	3958
326	1920	3953
327	1925	3945
328	1931	3939
329	1936	3931
330	1941	3924
331	1946	3917
332	1952	3910
333	1957	3903
334	1963	3897
335	1968	3890
336	1973	3882
337	1978	3875
338	1984	3869
339	1989	3862
340	1995	3855
341	2000	3849
342	2005	3842
343	2011	3836
344	2017	3829
345	2022	3822
346	2028	3816
347	2034	3811
348	2038	3803
349	2044	3796
350	2049	3789
351	2055	3783
352	2061	3777
353	2067	3772
354	2073	3766
355	2078	3760
356	2084	3753
357	2089	3747
358	2095	3740
359	2100	3733
360	2106	3728
361	2111	3721
362	2117	3715
363	2122	3708
364	2127	3701
365	2133	3695
366	2138	3688
367	2144	3682
368	2150	3677
369	2155	3669
370	2160	3663
371	2166	3657
372	2171	3650
373	2176	3643
374	2182	3637
375	2187	3630
376	2192	3623
377	2198	3617
378	2204	3611
379	2211	3607
380	2215	3598
381	2218	3589
382	2223	3582
383	2230	3577
384	2236	3572
385	2241	3565
386	2247	3559
387	2252	3553
388	2259	3549
389	2265	3542
390	2271	3537
391	2276	3531
392	2282	3525
393	2286	3517
394	2291	3510
395	2297	3504
396	2302	3496
397	2306	3489
398	2312	3482
399	2316	3474
400	2321	3467
401	2326	3460
402	2331	3454
403	2337	3448
404	2343	3442
405	2347	3434
406	2351	3426
407	2356	3419
408	2361	3412
409	2367	3407
410	2374	3402
411	2379	3396
412	2384	3389
413	2389	3382
414	2394	3374
415	2398	3367
416	2404	3361
417	2408	3354
418	2413	3346
419	2418	3339
420	2423	3332
421	2428	3326
422	2433	3319
423	2438	3313
424	2443	3306
425	2449	3300
426	2456	3295
427	2460	3288
428	2464	3280
429	2469	3273
430	2473	3265
431	2478	3258
432	2482	3250
433	2487	3243
434	2491	3235
435	2495	3227
436	2500	3221
437	2505	3214
438	2509	3207
439	2513	3199
440	2519	3193
441	2524	3186
442	2528	3179
443	2534	3174
444	2540	3168
445	2546	3162
446	2554	3159
447	2560	3155
448	2566	3149
449	2572	3144
450	2578	3139
